FlyGeneID	ZebrafishGeneID	MouseGeneID	HumanSymbol
Cka	strn3	Strn3	STRN3
ClC-b	clcn7	Clcn7	CLCN7
ClC-c	clcn3	Clcn3	CLCN3
Clc	clta	Clta	CLTA
Clic	clic5a	Clic5	CLIC5
Clk	clocka	Clock	CLOCK
Cln3	cln3	Cln3	CLN3
Cln7	mfsd8	Mfsd8	MFSD8
Clp	cpsf4	Cpsf4	CPSF4
Cluap1	cluap1	Cluap1	CLUAP1
Cog1	cog1	Cog1	COG1
Cog3	cog3	Cog3	COG3
Cog7	cog7	Cog7	COG7
Coprox	cpox	Cpox	CPOX
Coq2	coq2	Coq2	COQ2
Coq3	coq3	Coq3	COQ3
Coq4	coq4	Coq4	COQ4
Coq5	coq5	Coq5	COQ5
Coq6	coq6	Coq6	COQ6
Coq7	coq7	Coq7	COQ7
Coq9	coq9	Coq9	COQ9
Cortactin	hcls1	Hcls1	HCLS1
Cp190	zbtb11	Zbtb11	ZBTB11
Cpr	porb	Por	POR
Cpsf100	cpsf2	Cpsf2	CPSF2
Cpsf160	cpsf1	Cpsf1	CPSF1
Cpsf6	cpsf6	Cpsf6	CPSF6
Cpsf73	cpsf3	Cpsf3	CPSF3
Crag	dennd4a	Dennd4a	DENND4A
CrebA	creb3l2	Creb3l2	CREB3L2
CrebB	crema	Crem	CREM
Crk	crk	Crk	CRK
Crtc	crtc3	Crtc3	CRTC3
Cse1	cse1l	Cse1l	CSE1L
Csk	csk	Csk	CSK
CstF50	cstf1	Cstf1	CSTF1
CstF64	cstf2	Cstf2	CSTF2
CtBP	ctbp1	Ctbp1	CTBP1
Ctf4	wdhd1	Wdhd1	WDHD1
Ctl1	slc44a1a	Slc44a1	SLC44A1
CtsB1	ctsba	Ctsb	CTSB
Cul2	cul2	Cul2	CUL2
Cul3	cul3a	Cul3	CUL3
Cul4	cul4b	Cul4b	CUL4B
Cul5	cul5a	Cul5	CUL5
Cwc25	cwc25	Cwc25	CWC25
CycB	ccnb1	Ccnb1	CCNB1
CycC	ccnc	Ccnc	CCNC
CycE	ccne1	Ccne1	CCNE1
CycG	ccng2	Ccng2	CCNG2
CycH	ccnh	Ccnh	CCNH
CycJ	ccnj	Ccnj	CCNJ
CycK	ccnk	Ccnk	CCNK
CycT	ccnt2a	Ccnt2	CCNT2
CycY	ccny	Ccny	CCNY
Cyp28c1	tbxas1	Tbxas1	TBXAS1
Cyp305a1	cyp2p8	Cyp2j6	CYP2J2
Cypl	ppil1	Ppil1	PPIL1
CysRS	cars	Cars	CARS
CysRS-m	cars2	Cars2	CARS2
D12	yeats2	Yeats2	YEATS2
D2hgdh	d2hgdh	D2hgdh	D2HGDH
DAAM	daam1b	Daam1	DAAM1
DCAF12	dcaf12	Dcaf12	DCAF12
DCP1	dcp1b	Dcp1b	DCP1B
DCP2	dcp2	Dcp2	DCP2
DCTN2-p50	dctn2	Dctn2	DCTN2
DCTN3-p24	dctn3	Dctn3	DCTN3
DCTN4-p62	dctn4	Dctn4	DCTN4
DCTN5-p25	dctn5	Dctn5	DCTN5
DCX-EMAP	eml3	Eml3	EML3
DENR	denr	Denr	DENR
DMAP1	dmap1	Dmap1	DMAP1
DNAlig1	lig1	Lig1	LIG1
DNAlig3	lig3	Lig3	LIG3
DNAlig4	lig4	Lig4	LIG4
DNApol-alpha180	pola1	Pola1	POLA1
DNApol-alpha50	prim1	Prim1	PRIM1
DNApol-alpha60	prim2	Prim2	PRIM2
DNApol-alpha73	pola2	Pola2	POLA2
DNApol-delta	pold1	Pold1	POLD1
DNApol-epsilon255	pole	Pole	POLE
DNApol-epsilon58	pole2	Pole2	POLE2
DNApol-eta	polh	Polh	POLH
DNApol-iota	poli	Poli	POLI
DNaseII	dnase2	Dnase2a	DNASE2
DOR	tp53inp1	Trp53inp1	TP53INP1
DPCoAC	slc25a42	Slc25a42	SLC25A42
DUBAI	usp38	Usp38	USP38
Dad1	dad1	Dad1	DAD1
Dak1	cmpk	Cmpk1	CMPK1
Dap160	itsn1	Itsn1	ITSN1
Dark	apaf1	Apaf1	APAF1
Daxx	daxx	Daxx	DAXX
Dbp21E2	ddx28	Ddx28	DDX28
Dbp45A	ddx49	Ddx49	DDX49
Dbp73D	ddx51	Ddx51	DDX51
Dbp80	ddx19	Ddx19a	DDX19A
Dci	eci2	Eci2	ECI2
Ddx1	ddx1	Ddx1	DDX1
Deaf1	deaf1	Deaf1	DEAF1
Dek	dek	Dek	DEK
Der-1	derl1	Derl1	DERL1
Der-2	derl2	Derl2	DERL2
Dera	dera	Dera	DERA
Dfd	hoxb4a	Hoxb4	HOXB4
Dg	dag1	Dag1	DAG1
Dgk	dgkaa	Dgka	DGKA
Dgkepsilon	dgke	Dgke	DGKE
Dhap-at	gnpat	Gnpat	GNPAT
Dhfr	dhfr	Dhfr	DHFR
Dhod	dhodh	Dhodh	DHODH
DhpD	gda	Gda	GDA
Dhpr	qdpra	Qdpr	QDPR
Dhx15	dhx15	Dhx15	DHX15
Dim1	txnl4a	Txnl4a	TXNL4A
Dis3	dis3	Dis3	DIS3
Dis3l2	dis3l2	Dis3l2	DIS3L2
Dlic	dync1li2	Dync1li2	DYNC1LI2
Dnali1	dnali1	Dnali1	DNALI1
Doa	clk2a	Clk2	CLK2
Dp1	hdlbpa	Hdlbp	HDLBP
Dpck	dcakd	Dcakd	DCAKD
Dph1	dph1	Dph1	DPH1
Dph5	dph5	Dph5	DPH5
Dpit47	ttc4	Ttc4	TTC4
DppIII	dpp3	Dpp3	DPP3
Drak	stk17b	Stk17b	STK17B
Drat	vat1	Vat1	VAT1
Drep4	dffb	Dffb	DFFB
Droj2	dnaja1	Dnaja1	DNAJA1
Dronc	casp2	Casp2	CASP2
Drp1	dnm1l	Dnm1l	DNM1L
Dsor1	map2k2a	Map2k2	MAP2K2
Dtd	dtd1	Dtd1	DTD1
Duba	otud5a	Otud5	OTUD5
Dyb	dtnbb	Dtnb	DTNB
Dyrk2	dyrk4	Dyrk4	DYRK4
Dyrk3	dyrk2	Dyrk2	DYRK2
Dysb	dtnbp1a	Dtnbp1	DTNBP1
E(Pc)	epc1a	Epc1	EPC1
E(bx)	bptf	Bptf	BPTF
E(z)	ezh2	Ezh2	EZH2
E2f2	e2f5	E2f5	E2F5
ECSIT	ecsit	Ecsit	ECSIT
EDTP	mtmr14	Mtmr14	MTMR14
ERp60	pdia3	Pdia3	PDIA3
Eaf	eaf1	Eaf1	EAF1
Eaf6	meaf6	Meaf6	MEAF6
EcR	nr1h3	Nr1h3	NR1H3
Echs1	echs1	Echs1	ECHS1
Edc3	edc3	Edc3	EDC3
Edem1	edem2	Edem2	EDEM2
Egfr	erbb3a	Erbb3	ERBB3
Ehbp1	ehbp1l1b	Ehbp1l1	EHBP1L1
Eip71CD	msra	Msra	MSRA
Eip74EF	elf2b	Elf2	ELF2
Eip93F	lcor	Lcor	LCOR
Elp2	elp2	Elp2	ELP2
Elp3	elp3	Elp3	ELP3
Elys	ahctf1	Ahctf1	AHCTF1
EndoB	sh3glb2b	Sh3glb2	SH3GLB2
Ent3	slc29a4	Slc29a4	SLC29A4
Eps-15	eps15l1a	Eps15l1	EPS15L1
Ercc1	ercc1	Ercc1	ERCC1
Etf-QO	etfdh	Etfdh	ETFDH
Etl1	smarcad1a	Smarcad1	SMARCAD1
Ets97D	gabpa	Gabpa	GABPA
Evi5	evi5b	Evi5	EVI5
Exd2	exd2	Exd2	EXD2
Exo70	exoc7	Exoc7	EXOC7
Exo84	exoc8	Exoc8	EXOC8
FANCI	fanci	Fanci	FANCI
FBXO11	fbxo11a	Fbxo11	FBXO11
FER	fes	Fes	FES
FRG1	frg1	Frg1	FRG1
Faa	fah	Fah	FAH
Faf2	faf2	Faf2	FAF2
Fak	ptk2ab	Ptk2	PTK2
Fancd2	fancd2	Fancd2	FANCD2
Fancl	fancl	Fancl	FANCL
Fancm	fancm	Fancm	FANCM
Fbl6	fbxl6	Fbxl6	FBXL6
Fbw5	fbxw5	Fbxw5	FBXW5
Fbxl4	fbxl4	Fbxl4	FBXL4
Fcp1	ctdp1	Ctdp1	CTDP1
Fdh	adh5	Adh5	ADH5
Fdx2	fdx1	Fdx1	FDX1
FeCH	fech	Fech	FECH
Fen1	fen1	Fen1	FEN1
Fer3HCH	fth1a	Fth1	FTH1
Fibp	fibpb	Fibp	FIBP
Fic	ficd	Ficd	FICD
Fign	fignl1	Fignl1	FIGNL1
Fim	pls3	Pls3	PLS3
Fip1	fip1l1b	Fip1l1	FIP1L1
Fitm	fitm2	Fitm2	FITM2
Fkbp12	fkbp1aa	Fkbp1a	FKBP1A
Fkbp59	fkbp4	Fkbp4	FKBP4
Flacc	zc3h13	Zc3h13	ZC3H13
Fmr1	fmr1	Fmr1	FMR1
Fnta	fnta	Fnta	FNTA
FoxK	foxk1	Foxk1	FOXK1
FoxP	foxp1b	Foxp1	FOXP1
Fpps	fdps	Fdps	FDPS
Frl	fmnl2a	Fmnl2	FMNL2
Fs(2)Ket	kpnb1	Kpnb1	KPNB1
Fsn	fbxo45	Fbxo45	FBXO45
FucT6	fut8a	Fut8	FUT8
FucTB	fut10	Fut10	FUT10
GAA1	gpaa1	Gpaa1	GPAA1
GAPcenA	rabgap1l	Rabgap1l	RABGAP1L
GC	ggcx	Ggcx	GGCX
GCC185	golga3	Golga3	GOLGA3
GCC88	gcc1	Gcc1	GCC1
GCS1	mogs	Mogs	MOGS
GCS2alpha	ganab	Ganab	GANAB
GLS	glsa	Gls	GLS
GM130	golga2	Golga2	GOLGA2
GMF	gmfb	Gmfb	GMFB
Gadd45	gadd45ga	Gadd45g	GADD45G
Gale	gale	Gale	GALE
Galk	galk2	Galk2	GALK2
Galphaq	gna11a	Gna11	GNA11
Galphas	gnas	Gnas	GNAS
Galt	galt	Galt	GALT
Gapvd1	gapvd1	Gapvd1	GAPVD1
Gart	gart	Gart	GART
Gas8	gas8	Gas8	GAS8
GatA	qrsl1	Qrsl1	QRSL1
Gbeta13F	gnb1b	Gnb1	GNB1
Gclc	gclc	Gclc	GCLC
Gclm	gclm	Gclm	GCLM
Gcn5	kat2b	Kat2b	KAT2B
Gdap2	gdap2	Gdap2	GDAP2
Gdh	glud1b	Glud1	GLUD1
Gdi	gdi1	Gdi1	GDI1
Gdn1	polr2m	Polr2m	POLR2M
Ge-1	edc4	Edc4	EDC4
Gel	scin	Scin	SCIN
Gem3	ddx20	Ddx20	DDX20
Gga	gga1	Gga1	GGA1
Ggamma1	gng7	Gng7	GNG7
Gip	hyi	Hyi	HYI
Girdin	ccdc88c	Ccdc88c	CCDC88C
Git	git2a	Git2	GIT2
GlcAT-I	b3gat3	B3gat3	B3GAT3
GlcT	ugcg	Ugcg	UGCG
Gle1	gle1	Gle1	GLE1
GlnRS	qars	Qars	QARS
Glo1	glo1	Glo1	GLO1
GluProRS	eprs	Eprs	EPRS
GluRIA	gria3b	Gria3	GRIA3
Glut4EF	znf704	Zfp704	ZNF704
GlyP	pygma	Pygm	PYGM
GlyRS	gars	Gars	GARS
Gmap	trip11	Trip11	TRIP11
Gmd	gmds	Gmds	GMDS
Gmer	tsta3	Tsta3	TSTA3
Gnf1	rfc1	Rfc1	RFC1
Gnmt	gnmt	Gnmt	GNMT
Gnpnat	gnpnat1	Gnpnat1	GNPNAT1
Golgin245	golga4	Golga4	GOLGA4
Golgin84	golga5	Golga5	GOLGA5
Gorab	gorab	Gorab	GORAB
Gos28	gosr1	Gosr1	GOSR1
Got1	got1	Got1	GOT1
Got2	got2a	Got2	GOT2
Gp210	nup210	Nup210	NUP210
Gp93	hsp90b1	Hsp90b1	HSP90B1
Gpdh1	gpd1a	Gpd1	GPD1
Grasp65	gorasp1a	Gorasp1	GORASP1
Grip71	nedd1	Nedd1	NEDD1
Grip75	tubgcp4	Tubgcp4	TUBGCP4
Gs1	glulb	Glul	GLUL
Gss2	gss	Gss	GSS
GstS1	gstm.2	Gstm4	GSTM4
Gug	rerea	Rere	RERE
Gyg	gyg1b	Gyg	GYG1
H2.0	hlx1	Hlx	HLX
HBS1	hbs1l	Hbs1l	HBS1L
HDAC1	hdac1	Hdac1	HDAC1
HDAC11	hdac11	Hdac11	HDAC11
HDAC3	hdac3	Hdac3	HDAC3
HDAC4	hdac5	Hdac5	HDAC5
HDAC6	hdac6	Hdac6	HDAC6
HERC2	herc2	Herc2	HERC2
HLH3B	tal1	Tal1	TAL1
HPS1	hps1	Hps1	HPS1
HPS4	hps4	Hps4	HPS4
HSPBAP1	hspbap1	Hspbap1	HSPBAP1
HUWE1	huwe1	Huwe1	HUWE1
Hacl	hacl1	Hacl1	HACL1
Hakai	cbll1	Cbll1	CBLL1
Hat1	hat1	Hat1	HAT1
Hcs	hlcs	Hlcs	HLCS
Hdc	hdc	Hdc	HDC
Hel89B	btaf1	Btaf1	BTAF1
Hem	nckap1	Nckap1	NCKAP1
HemK1	hemk1	Hemk1	HEMK1
HemK2	n6amt1	N6amt1	N6AMT1
Herp	herpud2	Herpud2	HERPUD2
Hers	bahd1	Bahd1	BAHD1
Hesr	her2	Hes5	HES5
Hexim	hexim1	Hexim1	HEXIM1
Hez	lsm12b	Lsm12	LSM12
Hip1	hip1	Hip1	HIP1
Hipk	hipk3b	Hipk3	HIPK3
Hira	hira	Hira	HIRA
His2A:CG31618	h2afx	H2afx	H2AFX
His2Av	h2afva	H2afv	H2AFV
His3.3B	h3f3a	H3f3a	H3F3A
HisRS	hars	Hars	HARS
Hlc	ddx56	Ddx56	DDX56
Hmg-2	hmg20a	Hmg20a	HMG20A
Hmgcr	hmgcra	Hmgcr	HMGCR
Hmgs	hmgcs1	Hmgcs1	HMGCS1
Hmt-1	abcb6a	Abcb6	ABCB6
Ho	hmox2a	Hmox2	HMOX2
Hph	egln1a	Egln1	EGLN1
Hpr1	thoc1	Thoc1	THOC1
Hr38	nr4a2a	Nr4a2	NR4A2
Hr78	nr2c2	Nr2c2	NR2C2
Hrb27C	dazap1	Dazap1	DAZAP1
Hrd3	sel1l	Sel1l	SEL1L
Hrs	hgs	Hgs	HGS
Hs2st	hs2st1a	Hs2st1	HS2ST1
Hs3st-B	hs3st3b1b	Hs3st3b1	HS3ST3B1
Hsc70-3	hspa5	Hspa5	HSPA5
Hsc70-5	hspa9	Hspa9	HSPA9
Hsepi	glceb	Glce	GLCE
Hsf	hsf2	Hsf2	HSF2
Hsp83	hsp90ab1	Hsp90ab1	HSP90AB1
Hyccin	fam126a	Fam126a	FAM126A
IA-2	ptprna	Ptprn	PTPRN
ICA69	ical1	Ica1l	ICA1L
IFT20	ift20	Ift20	IFT20
IFT46	ift46	Ift46	IFT46
IFT52	ift52	Ift52	IFT52
IFT54	traf3ip1	Traf3ip1	TRAF3IP1
IFT57	ift57	Ift57	IFT57
IKKbeta	ikbkb	Ikbkb	IKBKB
IKKepsilon	tbk1	Tbk1	TBK1
INPP5E	inpp5e	Inpp5e	INPP5E
Ide	ide	Ide	IDE
Idh	idh1	Idh1	IDH1
Idh3b	idh3b	Idh3b	IDH3B
Idi	idi1	Idi1	IDI1
Ids	ids	Ids	IDS
Ih	hcn3	Hcn3	HCN3
IleRS	iars	Iars	IARS
IleRS-m	iars2	Iars2	IARS2
Ilk	ilk	Ilk	ILK
Ilp4	insl3	Insl3	INSL3
Iml1	depdc5	Depdc5	DEPDC5
Impbeta11	ipo11	Ipo11	IPO11
InR	igf1ra	Igf1r	IGF1R
Ing3	ing3	Ing3	ING3
Ing5	ing5a	Ing5	ING5
Ino80	ino80	Ino80	INO80
IntS1	ints1	Ints1	INTS1
IntS10	ints10	Ints10	INTS10
IntS12	ints12	Ints12	INTS12
IntS2	ints2	Ints2	INTS2
IntS3	ints3	Ints3	INTS3
IntS4	ints4	Ints4	INTS4
IntS8	ints8	Ints8	INTS8
IntS9	ints9	Ints9	INTS9
Invadolysin	lmln	Lmln	LMLN
Ip259	nsa2	Nsa2	NSA2
Ipk1	ippk	Ippk	IPPK
Ipk2	ipmkb	Ipmk	IPMK
Irbp	xrcc6	Xrcc6	XRCC6
Irbp18	cebpg	Cebpg	CEBPG
Ire1	ern2	Ern1	ERN1
Iru	rnf115	Rnf115	RNF115
IscU	iscub	Iscu	ISCU
JHDM2	kdm3b	Kdm3b	KDM3B
JIL-1	rps6ka5	Rps6ka5	RPS6KA5
JMJD4	jmjd4	Jmjd4	JMJD4
JTBR	jtb	Jtb	JTB
Jafrac1	prdx2	Prdx2	PRDX2
Jafrac2	prdx4	Prdx4	PRDX4
JhI-21	slc7a5	Slc7a5	SLC7A5
Jra	jund	Jund	JUND
Jwa	arl6ip5a	Arl6ip5	ARL6IP5
KCNQ	kcnq5b	Kcnq5	KCNQ5
KFase	afmid	Afmid	AFMID
KLHL18	klhl18	Klhl18	KLHL18
KP78b	mark2b	Mark2	MARK2
Kank	kank3	Kank3	KANK3
Kap-alpha1	kpna6	Kpna6	KPNA6
Karybeta3	kpnb3	Ipo5	IPO5
Kat60	katnal1	Katnal1	KATNAL1
Kdm2	kdm2ab	Kdm2a	KDM2A
Kdm4B	kdm4ab	Kdm4a	KDM4A
Keap1	keap1b	Keap1	KEAP1
Khc	kif5ba	Kif5b	KIF5B
Khc-73	kif13a	Kif13a	KIF13A
Kif19A	kif19	Kif19a	KIF19
Kif3C	kif17	Kif17	KIF17
Klc	klc1a	Klc1	KLC1
Klp3A	kif4	Kif4	KIF4A
Klp59D	kif2c	Kif2c	KIF2C
Klp64D	kif3a	Kif3a	KIF3A
Klp67A	kif18a	Kif18a	KIF18A
Klp68D	kif3b	Kif3b	KIF3B
Klp98A	kif16ba	Kif16b	KIF16B
Kr-h1	znf384l	Zfp384	ZNF384
Kr-h2	tmem33	Tmem33	TMEM33
KrT95D	pacs2	Pacs2	PACS2
Krn	nrg1	Nrg1	NRG1
L2HGDH	l2hgdh	L2hgdh	L2HGDH
LBR	lbr	Lbr	LBR
LIMK1	limk1a	Limk1	LIMK1
LPCAT	lpcat1	Lpcat1	LPCAT1
LRP1	lrp1ab	Lrp1	LRP1
LSm1	lsm1	Lsm1	LSM1
LTV1	ltv1	Ltv1	LTV1
La	ssb	Ssb	SSB
Lamp1	lamp2	Lamp2	LAMP2
LanB1	lamb2	Lamb2	LAMB2
LanB2	lamc1	Lamc1	LAMC1
Lar	ptprfb	Ptprf	PTPRF
Larp4B	larp4aa	Larp4	LARP4
Larp7	larp7	Larp7	LARP7
Las	lias	Lias	LIAS
Lasp	lasp1	Lasp1	LASP1
Ldh	ldha	Ldha	LDHA
Lerp	igf2r	Igf2r	IGF2R
Letm1	letm1	Letm1	LETM1
LeuRS	larsb	Lars	LARS
LeuRS-m	lars2	Lars2	LARS2
Lim1	lhx1a	Lhx1	LHX1
Liprin-beta	ppfibp1b	Ppfibp1	PPFIBP1
Liprin-gamma	kazna	Kazn	KAZN
Lk6	mknk1	Mknk1	MKNK1
Lkb1	stk11	Stk11	STK11
Lnk	sh2b1	Sh2b1	SH2B1
Lon	lonp1	Lonp1	LONP1
Lpin	lpin1	Lpin1	LPIN1
Lsm10	lsm10	Lsm10	LSM10
Lsm11	lsm11	Lsm11	LSM11
Lst8	mlst8	Mlst8	MLST8
LysRS	kars	Kars	KARS
Lztr1	lztr1	Lztr1	LZTR1
MAN1	lemd3	Lemd3	LEMD3
MAPk-Ak2	mapkapk2a	Mapkapk2	MAPKAPK2
MBD-R2	phf20b	Phf20	PHF20
MBD-like	mbd3a	Mbd3	MBD3
MCPH1	mcph1	Mcph1	MCPH1
MCTS1	mcts1	Mcts1	MCTS1
MED10	med10	Med10	MED10
MED11	med11	Med11	MED11
MED14	med14	Med14	MED14
MED15	med15	Med15	MED15
MED16	med16	Med16	MED16
MED18	med18	Med18	MED18
MED20	med20	Med20	MED20
MED21	med21	Med21	MED21
MED23	med23	Med23	MED23
MED24	med24	Med24	MED24
MED26	crsp7	Med26	MED26
MED27	med27	Med27	MED27
MED28	med28	Med28	MED28
MED30	med30	Med30	MED30
MED31	med31	Med31	MED31
MED4	med4	Med4	MED4
MED6	med6	Med6	MED6
MED7	med7	Med7	MED7
MESK2	ndrg3b	Ndrg3	NDRG3
MFS16	slc37a2	Slc37a2	SLC37A2
MFS18	slc17a9b	Slc17a9	SLC17A9
MICAL-like	micall1a	Micall1	MICALL1
MKP-4	dusp12	Dusp12	DUSP12
MRP	abcc1	Abcc1	ABCC1
MSBP	pgrmc1	Pgrmc1	PGRMC1
MTPAP	mtpap	Mtpap	MTPAP
MYPT-75D	ppp1r16a	Ppp1r16a	PPP1R16A
Mad1	mad1l1	Mad1l1	MAD1L1
Madm	nrbp1	Nrbp1	NRBP1
Manf	manf	Manf	MANF
Marcal1	smarcal1	Smarcal1	SMARCAL1
Marf	mfn2	Mfn2	MFN2
Mat1	mnat1	Mnat1	MNAT1
Mat89Ba	nol6	Nol6	NOL6
Mau2	mau2	Mau2	MAU2
Max	max	Max	MAX
Mbs	ppp1r12a	Ppp1r12a	PPP1R12A
Mccc1	mccc1	Mccc1	MCCC1
Mccc2	mccc2	Mccc2	MCCC2
Mcm10	mcm10	Mcm10	MCM10
Mcm2	mcm2	Mcm2	MCM2
Mcm3	mcm3	Mcm3	MCM3
Mcm5	mcm5	Mcm5	MCM5
Mcm6	mcm6	Mcm6	MCM6
Mcm7	mcm7	Mcm7	MCM7
Mct1	slc16a12b	Slc16a12	SLC16A12
Mctp	mctp1b	Mctp1	MCTP1
Mdh1	mdh1aa	Mdh1	MDH1
Mef2	mef2cb	Mef2c	MEF2C
Megf8	megf8	Megf8	MEGF8
Mekk1	map3k4	Map3k4	MAP3K4
Meltrin	adam12	Adam12	ADAM12
Membrin	gosr2	Gosr2	GOSR2
Mer	nf2a	Nf2	NF2
Mes4	pole4	Pole4	POLE4
Mesh1	hddc3	Hddc3	HDDC3
MetRS	mars	Mars	MARS
MetRS-m	mars2	Mars2	MARS2
Mettl14	mettl14	Mettl14	METTL14
Mettl3	mettl3	Mettl3	METTL3
Mfap1	mfap1	Mfap1b	MFAP1
Mfe2	hsd17b4	Hsd17b4	HSD17B4
Mgat2	mgat2	Mgat2	MGAT2
Mgstl	mgst1.1	Mgst1	MGST1
Mink	nusap1	Nusap1	NUSAP1
Miro	rhot1a	Rhot1	RHOT1
Mitofilin	immt	Immt	IMMT
Mkk4	map2k4a	Map2k4	MAP2K4
Mkp3	dusp7	Dusp7	DUSP7
Mks1	mks1	Mks1	MKS1
Mlc-c	myl6	Myl6	MYL6
Mlc2	myl10	Myl10	MYL10
Mlf	mlf2	Mlf2	MLF2
Mlh1	mlh1	Mlh1	MLH1
Mlp60A	csrp3	Csrp3	CSRP3
Mmp1	mmp14b	Mmp14	MMP14
Mms19	mms19	Mms19	MMS19
Mnn1	men1	Men1	MEN1
Mo25	cab39l	Cab39l	CAB39L
Mob2	mob2b	Mob2	MOB2
Mob3	mob3c	Mob3c	MOB3C
Mob4	mob4	Mob4	MOB4
Mocs1	mocs1	Mocs1	MOCS1
Moe	msna	Msn	MSN
Mondo	mlxip	Mlxip	MLXIP
Mp	col15a1b	Col15a1	COL15A1
Mpi	mpi	Mpi	MPI
Mpp6	mphosph6	Mphosph6	MPHOSPH6
Mps1	ttk	Ttk	TTK
Msh6	msh6	Msh6	MSH6
Mt2	trdmt1	Trdmt1	TRDMT1
Mthfs	mthfs	Mthfs	MTHFS
Mtpalpha	hadhaa	Hadha	HADHA
Mtpbeta	hadhb	Hadhb	HADHB
Mulk	agk	Agk	AGK
Mvd	mvda	Mvd	MVD
Mvl	slc11a2	Slc11a2	SLC11A2
Myb	mybl1	Mybl1	MYBL1
Mybbp1A	mybbp1a	Mybbp1a	MYBBP1A
Myc	mycb	Myc	MYC
Myd88	myd88	Myd88	MYD88
Myo61F	myo1cb	Myo1c	MYO1C
Myo95E	myo1b	Myo1b	MYO1B
Mys45A	sdad1	Sdad1	SDAD1
Myt1	pkmyt1	Pkmyt1	PKMYT1
NANS	nansa	Nans	NANS
NC2alpha	drap1	Drap1	DRAP1
NC2beta	dr1	Dr1	DR1
ND-13A	ndufs6	Ndufs6	NDUFS6
ND-13B	ndufa5	Ndufa5	NDUFA5
ND-15	ndufs5	Ndufs5	NDUFS5
ND-18	ndufs4	Ndufs4	NDUFS4
ND-19	ndufa8	Ndufa8	NDUFA8
ND-23	ndufs8a	Ndufs8	NDUFS8
ND-30	ndufs3	Ndufs3	NDUFS3
ND-39	ndufa9a	Ndufa9	NDUFA9
ND-42	ndufa10	Ndufa10	NDUFA10
ND-75	ndufs1	Ndufs1	NDUFS1
ND-ACP	ndufab1b	Ndufab1	NDUFAB1
ND-ASHI	ndufb8	Ndufb8	NDUFB8
ND-B12	ndufb3	Ndufb3	NDUFB3
ND-B14	ndufa6	Ndufa6	NDUFA6
ND-B14.5B	ndufc2	Ndufc2	NDUFC2
ND-B14.7	ndufa11	Ndufa11	NDUFA11
ND-B15	ndufb4	Ndufb4	NDUFB4
ND-B16.6	ndufa13	Ndufa13	NDUFA13
ND-B17.2	ndufa12	Ndufa12	NDUFA12
ND-B18	ndufb7	Ndufb7	NDUFB7
ND-B22	ndufb9	Ndufb9	NDUFB9
ND-B8	ndufa2	Ndufa2	NDUFA2
ND-MLRQ	ndufa4	Ndufa4	NDUFA4
ND-MWFE	ndufa1	Ndufa1	NDUFA1
ND-PDSW	ndufb10	Ndufb10	NDUFB10
ND-SGDH	ndufb5	Ndufb5	NDUFB5
NHP2	nhp2	Nhp2	NHP2
NLaz	apodb	Apod	APOD
NP15.6	ndufb11	Ndufb11	NDUFB11
NTPase	entpd5a	Entpd5	ENTPD5
NUCB1	nucb2b	Nucb2	NUCB2
Naa35	naa35	Naa35	NAA35
Naa40	naa40	Naa40	NAA40
Nab2	zc3h14	Zc3h14	ZC3H14
Nadsyn	nadsyn1	Nadsyn1	NADSYN1
Nak	bmp2k	Bmp2k	BMP2K
Nap1	nap1l1	Nap1l1	NAP1L1
Ncoa6	ncoa6	Ncoa6	NCOA6
Ndc80	ndc80	Ndc80	NDC80
Ndf	glyr1	Glyr1	GLYR1
Ndfip	ndfip1	Ndfip1	NDFIP1
Nedd8	nedd8	Nedd8	NEDD8
Nek2	nek2	Nek2	NEK2
Nep3	ece1	Ece1	ECE1
Neto	neto2b	Neto2	NETO2
Neurl4	neurl4	Neurl4	NEURL4
Neurochondrin	ncdn	Ncdn	NCDN
Nf-YA	nfya	Nfya	NFYA
Nf-YB	nfyba	Nfyb	NFYB
Nf-YC	nfyc	Nfyc	NFYC
Nf1	nf1b	Nf1	NF1
NfI	nfic	Nfic	NFIC
Nhe1	slc9a8	Slc9a8	SLC9A8
Nhe3	slc9a6a	Slc9a6	SLC9A6
NiPp1	ppp1r8a	Ppp1r8	PPP1R8
Nipped-A	trrap	Trrap	TRRAP
NitFhit	nit1	Nit1	NIT1
Nle	nle1	Nle1	NLE1
Nmd3	nmd3	Nmd3	NMD3
Nmdmc	mthfd2	Mthfd2	MTHFD2
Nmt	nmt2	Nmt2	NMT2
Nnp-1	rrp1	Rrp1b	RRP1B
Noa36	znf330	Zfp330	ZNF330
Non1	gtpbp4	Gtpbp4	GTPBP4
Non3	rpf2	Rpf2	RPF2
Nop56	nop56	Nop56	NOP56
Nop60B	dkc1	Dkc1	DKC1
Nopp140	nolc1	Nolc1	NOLC1
Nost	nostrin	Nostrin	NOSTRIN
Not1	cnot1	Cnot1	CNOT1
Not10	cnot10	Cnot10	CNOT10
Not3	cnot3a	Cnot3	CNOT3
Npl4	nploc4	Nploc4	NPLOC4
Nprl2	nprl2	Nprl2	NPRL2
Nprl3	nprl3	Nprl3	NPRL3
Ns1	gnl3l	Gnl3l	GNL3L
Ns2	gnl2	Gnl2	GNL2
Ns3	lsg1	Lsg1	LSG1
Ns4	gnl1	Gnl1	GNL1
Nse1	nsmce1	Nsmce1	NSMCE1
