FlyGeneID	FlyGeneID.1	FlyBaseID	FlySymbol	Species	ZebrafishGeneID	ZFINID	ZebrafishSymbol	DIOPTScore	WeightedScore	Rank	BestScore	BestScoreReverse	PredictionDerivedFrom
Nxt1	37769	FBgn0028411	Nxt1	Zebrafish	751738	ZDB-GENE-050521-1	nxt2	12	11.9	high	Yes	Yes	Compara, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
O-fut1	36564	FBgn0033901	O-fut1	Zebrafish	403029	ZDB-GENE-040303-2	pofut1	12	11.79	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
O-fut2	31098	FBgn0027791	O-fut2	Zebrafish	777668	ZDB-GENE-030131-3595	pofut2	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ORMDL	40404	FBgn0037110	ORMDL	Zebrafish	450067	ZDB-GENE-041010-190	ormdl3	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
OSCP1	36300	FBgn0033685	OSCP1	Zebrafish	100002307	ZDB-GENE-080204-2	oscp1a	8	7.81	high	Yes	Yes	Compara, eggNOG, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, TreeFam
OXA1L	39222	FBgn0027615	OXA1L	Zebrafish	562963	ZDB-GENE-071004-49	oxa1l	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Oat	40145	FBgn0022774	Oat	Zebrafish	572518	ZDB-GENE-110411-148	oat	10	9.98	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp
Oatp26F	33927	FBgn0051634	Oatp26F	Zebrafish	567865	ZDB-GENE-060606-4	slco4a1	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Ocrl	31157	FBgn0023508	Ocrl	Zebrafish	777716	ZDB-GENE-061110-61	ocrl	11	10.83	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
Oda	36307	FBgn0014184	Oda	Zebrafish	259192	ZDB-GENE-020731-4	oaz1a	8	7.91	high	Yes	Yes	eggNOG, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
OdsH	32758	FBgn0026058	OdsH	Zebrafish	798510	ZDB-GENE-080509-1	uncx	7	6.9	high	Yes	Yes	eggNOG, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
Ogg1	31806	FBgn0027864	Ogg1	Zebrafish	791194	ZDB-GENE-070112-932	ogg1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Orc1	35686	FBgn0286788	Orc1	Zebrafish	554509	ZDB-GENE-030131-6960	orc1	11	10.88	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Orc2	41703	FBgn0015270	Orc2	Zebrafish	768161	ZDB-GENE-061013-682	orc2	6	5.95	high	Yes	Yes	Compara, Homologene, OrthoDB, OrthoFinder, Panther, Phylome
Orc3	36454	FBgn0005654	Orc3	Zebrafish	334315	ZDB-GENE-030131-6247	orc3	9	8.83	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, RoundUp, TreeFam
Orc4	37970	FBgn0023181	Orc4	Zebrafish	406462	ZDB-GENE-040426-2224	orc4	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Orc5	34794	FBgn0015271	Orc5	Zebrafish	406479	ZDB-GENE-040426-2275	orc5	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Orc6	36017	FBgn0023180	Orc6	Zebrafish	324256	ZDB-GENE-030131-2976	orc6	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Ork1	32020	FBgn0017561	Ork1	Zebrafish	393606	ZDB-GENE-040426-1297	kcnk5b	5	4.7	high	Yes	Yes	Compara, eggNOG, OrthoFinder, Phylome, TreeFam
Oscillin	33783	FBgn0031717	Oscillin	Zebrafish	556291	ZDB-GENE-091117-41	gnpda2	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Oseg2	38282	FBgn0035317	Oseg2	Zebrafish	432389	ZDB-GENE-040827-1	ift172	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Oseg4	38219	FBgn0035264	Oseg4	Zebrafish	565515	ZDB-GENE-060810-148	wdr35	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Oseg5	35349	FBgn0032891	Oseg5	Zebrafish	494082	ZDB-GENE-041212-50	ift80	8	7.86	high	Yes	Yes	Compara, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome
Oseg6	37245	FBgn0034452	Oseg6	Zebrafish	556414	ZDB-GENE-090313-277	wdr19	13	12.9	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
Ost48	31849	FBgn0014868	Ost48	Zebrafish	406408	ZDB-GENE-040426-2147	ddost	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
OstDelta	37029	FBgn0034277	OstDelta	Zebrafish	335985	ZDB-GENE-030131-7928	rpn2	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
Ostgamma	34137	FBgn0032015	Ostgamma	Zebrafish	324944	ZDB-GENE-030131-3667	magt1	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
P32	37006	FBgn0034259	P32	Zebrafish	334619	ZDB-GENE-050417-408	c1qbp	11	10.75	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
P58IPK	41161	FBgn0037718	P58IPK	Zebrafish	322544	ZDB-GENE-030131-1264	dnajc3a	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
PAN2	35893	FBgn0033352	PAN2	Zebrafish	792831	ZDB-GENE-030131-3113	pan2	13	12.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
PAPLA1	34109	FBgn0031990	PAPLA1	Zebrafish	100321082	ZDB-GENE-080519-4	ddhd2	10	9.73	high	Yes	Yes	Compara, eggNOG, Homologene, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
PCB	36020	FBgn0027580	PCB	Zebrafish	58068	ZDB-GENE-000831-1	pcxb	11	10.85	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, TreeFam
PCID2	39306	FBgn0036184	PCID2	Zebrafish	492509	ZDB-GENE-041114-79	pcid2	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
PDCD-5	39776	FBgn0036580	PDCD-5	Zebrafish	394152	ZDB-GENE-040426-980	pdcd5	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
PEK	40653	FBgn0037327	PEK	Zebrafish	559564	ZDB-GENE-050414-2	eif2ak3	11	10.97	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
PGAP1	31487	FBgn0029789	PGAP1	Zebrafish	100147850	ZDB-GENE-090313-216	pgap1	11	10.75	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
PGAP3	35570	FBgn0033088	PGAP3	Zebrafish	100136873	ZDB-GENE-080204-27	pgap3	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
PGRP-LB	41379	FBgn0037906	PGRP-LB	Zebrafish	568634	ZDB-GENE-071227-1	pglyrp2	7	6.9	high	Yes	Yes	eggNOG, Homologene, OrthoDB, orthoMCL, Panther, RoundUp, TreeFam
PHGPx	38413	FBgn0035438	PHGPx	Zebrafish	352929	ZDB-GENE-030410-3	gpx4b	10	9.86	high	Yes	Yes	eggNOG, Hieranoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
PI4KIIIalpha	31247	FBgn0267350	PI4KIIIalpha	Zebrafish	556956	ZDB-GENE-100204-2	pi4kaa	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
PICK1	34677	FBgn0032447	PICK1	Zebrafish	768194	ZDB-GENE-061013-283	pick1	9	8.82	high	Yes	Yes	Compara, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
PIG-A	37020	FBgn0034270	PIG-A	Zebrafish	791759	ZDB-GENE-040426-1086	piga	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
PIG-B	38446	FBgn0035464	PIG-B	Zebrafish	393448	ZDB-GENE-040426-1216	pigb	10	10.03	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp
PIG-C	38410	FBgn0035435	PIG-C	Zebrafish	323994	ZDB-GENE-030131-2714	pigc	13	12.9	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
PIG-F	40139	FBgn0036893	PIG-F	Zebrafish	402942	ZDB-GENE-040426-1801	pigf	9	8.92	high	Yes	Yes	Compara, eggNOG, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp
PIG-H	40944	FBgn0037535	PIG-H	Zebrafish	436838	ZDB-GENE-040718-303	pigh	8	7.78	high	Yes	Yes	eggNOG, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
PIG-K	31163	FBgn0023545	PIG-K	Zebrafish	415239	ZDB-GENE-040625-162	pigk	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
PIG-L	42388	FBgn0038763	PIG-L	Zebrafish	561471	ZDB-GENE-050506-60	pigl	8	7.8	high	Yes	Yes	Compara, eggNOG, Homologene, OrthoDB, OrthoFinder, orthoMCL, Panther, TreeFam
PIG-O	37118	FBgn0034346	PIG-O	Zebrafish	563993	ZDB-GENE-091204-80	pigo	12	11.84	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
PIG-Q	117366	FBgn0086448	PIG-Q	Zebrafish	321218	ZDB-GENE-030131-9793	pigq	9	8.83	high	Yes	Yes	Compara, eggNOG, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
PIG-S	42979	FBgn0265190	PIG-S	Zebrafish	767675	ZDB-GENE-060929-436	pigs	12	11.84	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
PIG-T	31772	FBgn0030035	PIG-T	Zebrafish	556667	ZDB-GENE-090313-46	pigt	11	10.77	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
PIG-U	34185	FBgn0032052	PIG-U	Zebrafish	560242	ZDB-GENE-100629-1	pigu	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
PIG-V	19835383	FBgn0265174	PIG-V	Zebrafish	100148642	ZDB-GENE-121116-1	pigv	9	9.13	high	Yes	Yes	Compara, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp
PIG-X	246580	FBgn0050381	PIG-X	Zebrafish	570443	ZDB-GENE-070705-212	pigx	11	10.88	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
PIP4K	3885565	FBgn0039924	PIP4K	Zebrafish	555920	ZDB-GENE-070912-272	pip4k2ab	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
PIP5K59B	37633	FBgn0034789	PIP5K59B	Zebrafish	447840	ZDB-GENE-040912-141	pip5k1bb	11	10.86	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
PK1-R	41713	FBgn0038201	PK1-R	Zebrafish	569960	ZDB-GENE-131121-154	nmur1b	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
PKD	42203	FBgn0038603	PKD	Zebrafish	557337	ZDB-GENE-130530-880	prkd3	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
PNUTS	33270	FBgn0053526	PNUTS	Zebrafish	192329	ZDB-GENE-020419-15	ppp1r10	10	9.92	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp
POLDIP2	40655	FBgn0037329	POLDIP2	Zebrafish	100000398	ZDB-GENE-030131-5881	poldip2	12	11.9	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
POSH	36990	FBgn0040294	POSH	Zebrafish	556523	ZDB-GENE-030131-6288	sh3rf1	12	11.87	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
PPP4R2r	31979	FBgn0030208	PPP4R2r	Zebrafish	326723	ZDB-GENE-030131-4922	ppp4r2a	11	10.83	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
PQBP1	43004	FBgn0039270	PQBP1	Zebrafish	796523	ZDB-GENE-030616-158	pqbp1	7	6.94	high	Yes	Yes	eggNOG, Inparanoid, OrthoFinder, orthoMCL, Panther, RoundUp, TreeFam
PRAS40	26067067	FBgn0267824	PRAS40	Zebrafish	566559	ZDB-GENE-030131-482	akt1s1	3	3.03	high	Yes	Yes	Compara, OrthoFinder, Panther
PRL-1	34952	FBgn0024734	PRL-1	Zebrafish	334483	ZDB-GENE-041114-111	ptp4a2b	10	9.85	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, TreeFam
PSR	42616	FBgn0038948	PSR	Zebrafish	266962	ZDB-GENE-040426-17	jmjd6	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
PTPMT1	42807	FBgn0039111	PTPMT1	Zebrafish	567019	ZDB-GENE-070112-272	ptpmt1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Pa1	32079	FBgn0030294	Pa1	Zebrafish	326076	ZDB-GENE-030131-4801	pagr1	6	5.9	high	Yes	Yes	Compara, Hieranoid, OrthoDB, orthoMCL, Panther, TreeFam
Pabp2	35788	FBgn0005648	Pabp2	Zebrafish	406543	ZDB-GENE-040426-2401	pabpn1	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Paf-AHalpha	32529	FBgn0025809	Paf-AHalpha	Zebrafish	567170	ZDB-GENE-060526-43	pafah1b2	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Paics	32228	FBgn0020513	Paics	Zebrafish	321193	ZDB-GENE-030131-9762	paics	8	7.99	high	Yes	Yes	Compara, Homologene, OMA, OrthoDB, OrthoFinder, Panther, Phylome, RoundUp
Paip2	41591	FBgn0038100	Paip2	Zebrafish	393739	ZDB-GENE-040426-1736	paip2b	7	6.92	high	Yes	Yes	Compara, OMA, OrthoDB, OrthoFinder, Panther, Phylome, TreeFam
Papss	40167	FBgn0020389	Papss	Zebrafish	80939	ZDB-GENE-010323-5	papss2b	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Papst2	39914	FBgn0036695	Papst2	Zebrafish	664769	ZDB-GENE-060312-46	slc35b3	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Parp	3355109	FBgn0010247	Parp	Zebrafish	560788	ZDB-GENE-030131-3955	parp1	12	11.89	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
Parp16	36841	FBgn0034129	Parp16	Zebrafish	405842	ZDB-GENE-040426-2289	parp16	9	8.9	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp
Pask	37824	FBgn0034950	Pask	Zebrafish	322674	ZDB-GENE-030131-1394	pask	11	10.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Past1	41569	FBgn0016693	Past1	Zebrafish	405810	ZDB-GENE-040426-2518	ehd1a	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Pat1	31593	FBgn0029878	Pat1	Zebrafish	322995	ZDB-GENE-030131-1715	appbp2	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Patr-1	42058	FBgn0266053	Patr-1	Zebrafish	100009659	ZDB-GENE-070209-83	patl1	11	10.89	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
Patronin	36978	FBgn0263197	Patronin	Zebrafish	562741	ZDB-GENE-030131-3016	camsap2a	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Pbgs	39402	FBgn0036271	Pbgs	Zebrafish	550338	ZDB-GENE-050417-123	alad	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
Pbp49	35787	FBgn0260398	Pbp49	Zebrafish	394090	ZDB-GENE-040426-971	snapc3	8	8.03	high	Yes	Yes	Compara, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp
Pbp95	40949	FBgn0037540	Pbp95	Zebrafish	561241	ZDB-GENE-030131-5794	snapc4	5	4.86	high	Yes	Yes	eggNOG, OrthoFinder, orthoMCL, Panther, TreeFam
Pc	40358	FBgn0003042	Pc	Zebrafish	100150672	ZDB-GENE-040405-1	cbx8a	8	8.05	high	Yes	Yes	eggNOG, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam
Pcd	43499	FBgn0024841	Pcd	Zebrafish	393787	ZDB-GENE-040426-1787	pcbd1	10	9.73	high	Yes	Yes	Compara, eggNOG, Homologene, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Pcf11	36658	FBgn0264962	Pcf11	Zebrafish	492341	ZDB-GENE-041114-175	pcf11	7	6.91	high	Yes	Yes	Compara, eggNOG, OMA, OrthoDB, OrthoFinder, Panther, TreeFam
Pcl	37069	FBgn0003044	Pcl	Zebrafish	560078	ZDB-GENE-081105-128	phf19	11	10.88	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
Pcmt	40668	FBgn0086768	Pcmt	Zebrafish	30751	ZDB-GENE-990415-134	pcmt	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Pdcd4	32337	FBgn0030520	Pdcd4	Zebrafish	406261	ZDB-GENE-040426-1920	pdcd4a	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Pde11	35107	FBgn0085370	Pde11	Zebrafish	553270	ZDB-GENE-060824-4	pde5ab	12	11.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Pde1c	34594	FBgn0264815	Pde1c	Zebrafish	564465	ZDB-GENE-090831-2	pde1a	10	9.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome
Pde8	37741	FBgn0266377	Pde8	Zebrafish	571011	ZDB-GENE-091117-3	pde8b	12	11.76	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
Pde9	32233	FBgn0259171	Pde9	Zebrafish	799942	ZDB-GENE-130920-1	pde9a	6	5.84	high	Yes	Yes	eggNOG, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, RoundUp
Pdha	31406	FBgn0028325	Pdha	Zebrafish	406702	ZDB-GENE-040426-2719	pdha1a	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Pdhb	43437	FBgn0039635	Pdhb	Zebrafish	406428	ZDB-GENE-040426-2173	pdhb	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Pdi	39651	FBgn0286818	Pdi	Zebrafish	406673	ZDB-GENE-080610-1	p4hb	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Pdk1	38017	FBgn0020386	Pdk1	Zebrafish	403000	ZDB-GENE-040426-1820	pdpk1b	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Pdp	31683	FBgn0029958	Pdp	Zebrafish	558728	ZDB-GENE-060810-70	pdp1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Pdp1	45588	FBgn0016694	Pdp1	Zebrafish	768192	ZDB-GENE-061013-159	hlfa	11	10.85	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
Pdrg1	36034	FBgn0033467	Pdrg1	Zebrafish	550453	ZDB-GENE-050417-276	pdrg1	11	10.8	high	Yes	Yes	Compara, eggNOG, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Pdss2	40323	FBgn0037044	Pdss2	Zebrafish	436624	ZDB-GENE-040718-43	pdss2	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
